Match ID,Match Date,Season,Team (Country),Opponent Team,Venue,Player Name,Player Role,Runs,Wickets,Bowling Type,Match Result (Win/Loss)
M266,2026-05-11,2026,South Africa,Australia,Lords,Rohit Sharma,All-rounder,134,6,Fast,Loss
M267,2025-09-09,2025,England,India,Ahmedabad,Steve Smith,Batsman,21,1,Fast,Loss
M268,2025-05-18,2025,India,Pakistan,Lords,David Warner,Batsman,118,2,Spin,Loss
M269,2025-02-20,2025,India,South Africa,Mumbai,Hardik Pandya,Batsman,150,2,Medium,Loss
M270,2026-01-24,2026,Pakistan,New Zealand,Lords,J Bumrah,Bowler,108,1,Medium,Win
M271,2025-09-02,2025,New Zealand,Australia,Ahmedabad,J Bumrah,Batsman,90,0,Fast,Win
M272,2026-03-21,2026,South Africa,Pakistan,Lords,Joe Root,Bowler,19,4,Spin,Win
M273,2025-03-29,2025,South Africa,Pakistan,Sydney,David Warner,Wicket Keeper,134,4,Spin,Loss
M274,2025-05-23,2025,South Africa,India,Mumbai,Hardik Pandya,Batsman,113,0,Spin,Win
M275,2025-02-04,2025,South Africa,England,Delhi,Travis Head,Bowler,60,6,Spin,Loss
M276,2025-06-30,2025,South Africa,New Zealand,Cape Town,Joe Root,All-rounder,37,0,Fast,Loss
M277,2025-10-06,2025,New Zealand,England,Sydney,Virat Kohli,All-rounder,116,2,Spin,Loss
M278,2025-12-23,2025,Pakistan,India,Cape Town,Rohit Sharma,Batsman,104,5,Fast,Win
M279,2025-02-21,2025,Australia,India,Lords,Travis Head,All-rounder,50,3,Medium,Win
M280,2025-02-10,2025,South Africa,New Zealand,Cape Town,Kane Williamson,Bowler,43,6,Spin,Loss
M281,2026-03-05,2026,Australia,India,Mumbai,Shubman Gill,Batsman,61,0,Spin,Loss
M282,2026-01-03,2026,Pakistan,New Zealand,Cape Town,J Bumrah,All-rounder,54,4,Spin,Win
M283,2025-11-04,2025,South Africa,New Zealand,Lords,KL Rahul,All-rounder,46,0,Medium,Win
M284,2025-02-26,2025,Australia,India,Mumbai,Babar Azam,All-rounder,107,3,Spin,Win
M285,2025-12-14,2025,New Zealand,Pakistan,Ahmedabad,Rohit Sharma,All-rounder,78,1,Spin,Win
M286,2025-07-04,2025,Pakistan,India,Lords,Virat Kohli,All-rounder,61,4,Fast,Win
M287,2025-05-26,2025,Pakistan,South Africa,Delhi,Joe Root,Wicket Keeper,115,5,Medium,Loss
M288,2025-02-01,2025,Pakistan,South Africa,Mumbai,J Bumrah,Bowler,131,6,Fast,Loss
M289,2025-12-01,2025,Pakistan,Australia,Sydney,Kane Williamson,Bowler,38,4,Fast,Win
M290,2025-07-13,2025,South Africa,Australia,Ahmedabad,Babar Azam,Bowler,128,5,Spin,Win
M291,2025-04-05,2025,South Africa,India,Sydney,Hardik Pandya,Batsman,61,2,Fast,Win
M292,2025-02-19,2025,South Africa,Australia,Sydney,KL Rahul,Bowler,76,4,Medium,Win
M293,2026-04-09,2026,South Africa,New Zealand,Ahmedabad,Shubman Gill,All-rounder,96,3,Medium,Loss
M294,2025-12-10,2025,South Africa,Pakistan,Mumbai,Hardik Pandya,Batsman,7,3,Medium,Win
M295,2025-02-17,2025,India,South Africa,Lords,Virat Kohli,Wicket Keeper,105,1,Spin,Win
M296,2025-01-29,2025,South Africa,Pakistan,Cape Town,Kane Williamson,Batsman,94,6,Fast,Loss
M297,2026-05-08,2026,South Africa,New Zealand,Sydney,Rohit Sharma,Bowler,143,1,Medium,Win
M298,2026-04-10,2026,Australia,South Africa,Mumbai,Babar Azam,All-rounder,104,4,Spin,Win
M299,2025-11-26,2025,Pakistan,Australia,Cape Town,Shubman Gill,All-rounder,111,2,Spin,Win
M300,2025-12-30,2025,New Zealand,Australia,Cape Town,Rohit Sharma,Batsman,72,2,Fast,Win
